AlienBreed.slave;AlienBreed;Action / Shooter / Multi Way;Alien Breed;Alien Breed;AlienBreed.info;AlienBreed_v2.3a_0998.lha
AlienBreedSpecialEdition.Slave;AlienBreedSpecialEdition;Action / Shooter / Multi Way;Alien Breed (Special Edition);Alien Breed SE;AlienBreedSpecialEdition.info;AlienBreedSpecialEdition_v1.0_0615.lha
AlienBreedStory.Slave;AlienBreedStory;Action / Shooter / 2D;Alien Breed (Story);Alien Breed - Story;AlienBreedStory.info;AlienBreedStory_v1.1_0998.lha
AlienBreed2.Slave;AlienBreed2;Action / Shooter / Multi Way;Alien Breed 2;Alien Breed 2;AlienBreed2.info;AlienBreed2_v1.6_0278.lha
AlienBreed2AGA.Slave;AlienBreed2AGA;Action / Shooter / Multi Way;Alien Breed 2 (AGA);Alien Breed 2 AA;AlienBreed2AGA.info;AlienBreed2_v1.6_AGA_0044.lha
AlienBreed3DAGA.slave;AlienBreed3DAGA;Action / FPS;Alien Breed 3D (AGA);Alien Breed 3D AA;AlienBreed3DAGA.info;AlienBreed3D_v1.3_AGA_0624.lha
AlienBreed3DCD32.slave;AlienBreed3DCD32;Action / FPS;Alien Breed 3D (CD32);Alien Breed 3D CD32;AlienBreed3DCD32.info;AlienBreed3D_v1.3_CD32.lha
AlienBreed3DDemoLatest.Slave;AlienBreed3DDemoLatestAGA;Action / FPS;Alien Breed 3D (Game Demo) (AGA);Alien Breed 3D DemoAA;AlienBreed3DDemoLatest.info;AlienBreed3DDemoLatestDemo_v1.0_AGA.lha
AlienBreed3DNoMusicAGA.slave;AlienBreed3DNoMusicAGA;Action / FPS;Alien Breed 3D (No Music) (AGA);Alien Breed 3D -Music AA;AlienBreed3DNoMusicAGA.info;AlienBreed3D_v1.3_NoMusic_AGA_0624.lha
AlienBreed3DNoMusicCD32.slave;AlienBreed3DNoMusicCD32;Action / FPS;Alien Breed 3D (No Music) (CD32);Alien Breed 3D -Mus CD32;AlienBreed3DNoMusicCD32.info;AlienBreed3D_v1.3_NoMusic_CD32.lha
AlienBreed3DDemoPlayAGA.Slave;AlienBreed3DDemoPlayAGA;Action / FPS;Alien Breed 3D (Playable) (Game Demo) (AGA);Alien Breed 3D P DemoAA;AlienBreed3DDemoPlayAGA.info;AlienBreed3DDemoPlayableDemo_v1.0_AGA.lha
AlienBreed3DDemoRollAGA.Slave;AlienBreed3DDemoRollAGA;Action / FPS;Alien Breed 3D (Rolling) (Game Demo) (AGA);Alien Breed 3D R DemoAA;AlienBreed3DDemoRollAGA.info;AlienBreed3DDemoRollingDemo_v1.0_AGA.lha
AlienBreed3D2AGA.slave;AlienBreed3D2AGA;Action / FPS;Alien Breed 3D 2 (The Killing Grounds) (AGA);Alien Breed 3D 2 AA;AlienBreed3D2AGA.info;AlienBreed3D2_v1.1_AGA_0280.lha
AlienBreedTA.slave;AlienBreedTA;Action / Shooter / Multi Way;Alien Breed Tower Assault;Alien Breed Tower Assault;AlienBreedTA.info;AlienBreedTowerAssault_v1.3_2331.lha
